,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
29921,0.39371449,0.264836633,1,61.65746644,1,1,3,1,2,3,1,44,43,1
29922,0.762108292,1.092613819,1,66.24243124,2,0,5,4,2,3,0,24,52,1
29923,0.467051598,0.615224943,?,60.54661352,1,0,2,4,?,2,0,42,57,1
29924,0.267781947,0.918841624,0,75.9949469,1,1,1,1,3,3,0,52,43,1
29926,0.379467634,0.401101114,0,58.80023756,1,1,4,2,2,2,0,49,88,1
29927,0.412594881,0.687745354,-1,61.02584852,1,0,2,3,2,3,1,62,63,1
29929,0.412070535,0.518482139,0,58.57841176,4,1,3,3,2,?,0,38,40,1
29930,0.0217043,0.659044924,-1,50.40577468,3,1,1,1,4,3,1,24,53,1
29933,0.455098147,0.607489753,0,?,1,1,2,1,3,1,1,40,38,1
29934,?,0.540940811,0,73.50459964,3,1,3,4,3,3,1,58,62,1
29935,0.519411264,0.30686282,-1,65.58799572,2,1,3,2,3,3,0,19,48,1
29938,0.429343687,0.377732964,1,70.89320365,3,1,1,1,2,4,0,30,50,1
29940,0.327308351,0.343230118,1,55.02094095,2,1,3,1,4,2,0,48,81,1
29944,0.3847828,0.618953149,0,67.41327618,1,1,2,4,2,2,0,68,55,1
29945,0.686515033,0.628165502,0,64.11619659,0,0,2,2,5,4,0,36,46,1
29949,0.442937151,0.534523247,0,64.65341073,2,?,3,2,2,?,1,58,56,1
29950,0.554723652,1.053419447,0,81.85941624,2,1,4,5,?,1,0,29,83,1
29951,0.347918968,0.55486696,1,67.50226768,3,1,5,2,?,3,1,40,73,1
29953,0.614683205,0.350817802,-1,68.73659516,3,3,1,3,3,4,0,44,74,1
29956,0.44218455,0.610988381,1,55.79277448,2,2,2,4,5,3,0,22,43,1
29957,0.472213633,0.714837329,1,62.80456774,0,2,5,4,3,2,1,68,31,1
29958,?,0.483414841,0,53.96887573,1,0,2,2,?,3,1,13,34,1
29960,0.181037247,?,0,60.54398748,2,2,1,2,3,2,1,71,73,1
29962,0.446122312,0.496799297,1,54.35803506,2,2,4,5,0,3,1,31,-1,1
29964,0.621931814,0.492330616,1,65.60509148,2,?,1,2,3,4,1,29,45,1
29966,0.863507505,0.927937069,0,60.51130714,2,2,2,3,2,2,0,71,43,1
29967,0.628290829,0.400103326,0,66.60603662,2,2,3,3,4,3,0,90,62,1
29968,0.414189114,0.558286811,-1,49.39419906,?,1,2,5,4,?,1,47,41,1
29970,0.420175863,0.746938561,1,52.61325487,2,?,5,5,4,2,1,80,?,1
29971,0.337704257,0.372777354,?,?,2,-1,5,5,2,3,?,3,36,1
29972,0.333117303,0.432717587,-1,61.68879951,1,1,1,3,4,4,1,38,56,1
29975,0.692134727,0.664588779,0,64.9559098,0,1,3,2,2,3,0,60,15,1
29977,0.506457537,0.379692226,1,?,?,1,4,5,2,2,1,39,27,1
29978,0.469709427,0.509760248,0,69.19830636,1,1,3,4,1,2,0,22,69,1
29979,0.278969485,0.32183711,0,60.12167217,1,1,1,2,2,3,1,14,83,1
29981,0.354845882,0.585564473,1,56.73533463,2,1,4,1,2,2,1,126,82,1
29982,0.38736787,0.514996513,0,72.19359369,3,2,5,5,2,2,1,51,45,1
29983,0.436604061,0.735112901,-1,64.9636012,0,0,5,1,3,3,1,26,75,1
29984,0.332816782,0.56208197,0,64.48290794,2,2,3,?,1,3,0,7,68,1
29989,0.451740237,0.629380133,0,66.44770186,2,2,1,5,2,3,0,52,95,1
29991,0.355238059,0.567429852,1,63.53747486,2,2,2,5,3,1,0,16,61,1
29993,0.348164656,0.475396239,0,75.70874389,3,1,2,5,3,5,0,50,60,1
29996,0.473503491,0.411295342,1,65.06663515,2,1,5,3,?,4,?,?,33,1
29998,0.32702661,0.336014542,-1,70.72855219,2,1,2,5,4,2,1,0,53,1
29999,0.466363494,0.304875269,-1,51.23369763,1,2,5,3,3,3,?,66,23,1
30002,0.42887473,0.54434333,-1,52.21141094,2,2,3,4,2,2,0,37,56,1
30005,?,0.687540241,0,64.72021466,3,0,4,?,3,1,0,46,15,1
30007,0.286261167,?,1,67.94509946,2,2,4,3,2,3,0,49,68,1
30010,0.758775645,?,?,64.2873466,2,2,1,1,3,3,0,55,29,1
30011,0.414785805,0.575678916,0,70.88863918,2,1,2,5,2,2,0,50,60,1
30012,0.424762086,0.793762661,?,51.66696562,3,2,2,?,3,2,1,87,54,1
30014,0.623064524,0.824694019,1,70.56158798,1,0,4,1,4,4,1,22,57,1
30015,0.682560494,0.60113011,1,72.29890988,1,1,2,2,4,2,1,52,72,1
30017,0.314090527,0.583795632,0,72.87675279,0,-1,5,1,0,2,1,60,38,1
30018,0.523785059,0.778089349,-1,69.97796565,?,1,1,4,1,3,1,35,59,1
30019,0.156701507,0.455705307,0,68.82090996,3,0,?,1,1,2,1,84,73,1
30020,0.268761717,0.630680929,1,57.9387158,0,0,1,1,1,2,0,36,39,1
30022,?,0.341417867,0,80.28673216,2,2,1,1,4,2,0,75,65,1
30023,0.589500743,0.401620949,0,64.186493,2,2,4,5,3,2,1,36,41,1
30024,0.322511364,0.421078556,-1,64.74344011,?,1,2,4,3,2,0,68,27,1
30028,0.896719431,0.7415491,0,80.74177719,1,1,5,1,3,5,?,84,57,1
30032,?,0.628909903,0,63.03640692,2,1,1,5,4,1,1,31,35,1
30034,0.568319039,0.52354038,0,61.6351493,1,2,3,1,3,1,1,46,11,1
30036,?,0.595245366,?,61.63977975,2,2,2,1,1,-1,1,12,72,1
30038,0.389942136,0.6308026,1,51.5266765,2,1,1,1,2,2,1,72,50,1
30039,0.35055484,0.561586474,1,65.22515782,2,0,2,1,2,1,0,52,53,1
30041,?,0.667706945,-1,63.82606597,3,3,5,4,1,4,0,40,7,1
30042,0.27639993,0.358742993,-1,73.58186296,3,0,4,2,1,4,0,65,33,1
30043,0.621360107,0.45444573,0,57.4706981,3,0,4,3,2,1,1,56,47,1
30044,0.452303701,0.727574753,0,68.48594191,2,2,4,5,?,3,1,26,43,1
30046,0.297930565,0.375891053,0,63.37292411,2,2,3,1,2,2,1,74,76,1
30048,0.546524324,0.149220793,-1,61.70676218,2,1,1,4,4,2,0,103,46,1
30049,0.365994291,0.596065812,0,58.70319451,2,0,1,2,3,1,0,65,63,1
30052,0.608156105,0.379632532,0,66.72626045,2,0,2,4,3,1,1,81,21,1
30053,0.368710881,0.270912382,-1,62.93326916,2,2,2,3,3,2,1,72,42,1
30057,0.878491848,0.491047018,1,72.89213977,3,1,5,2,1,3,?,34,23,1
30061,0.547320388,0.698660592,1,69.00500621,1,1,5,1,3,0,1,27,51,1
30063,0.51541992,0.291271847,1,64.57633639,2,2,3,4,4,0,0,29,41,1
30073,0.304476427,0.661263356,1,55.3741694,2,-1,2,4,2,2,0,41,53,1
30074,0.341676976,0.595457874,0,51.18868177,1,2,?,5,2,2,0,78,40,1
30078,0.510732445,0.535790332,0,59.20859233,?,2,4,2,2,3,0,59,52,1
30079,?,0.597932262,-1,51.83564333,1,1,5,4,3,2,0,46,80,1
30081,0.324890492,-0.06418578,1,64.30541957,0,1,4,1,3,4,1,66,54,1
30085,0.555317373,0.282985415,1,56.90751872,4,1,1,3,1,2,1,71,51,1
30086,0.486462839,0.949680961,1,55.03812071,1,0,4,2,2,3,0,55,77,1
30087,0.664481931,0.577595334,0,60.69661276,0,-1,3,2,3,3,0,23,48,1
30089,0.741272436,0.634136567,-1,64.37461009,2,0,5,3,4,3,?,50,37,1
30090,0.622351036,0.380149239,-1,59.14102205,1,1,5,3,3,3,1,64,88,1
30091,0.471839916,0.557544406,?,58.22656897,2,3,2,1,3,1,1,72,?,1
30093,0.421864091,0.533285725,0,68.42600059,1,1,1,1,3,3,1,45,52,1
30094,0.605860335,0.418287886,1,62.00678237,2,2,4,1,1,?,1,30,53,1
30095,0.483071349,0.891643469,0,72.05358473,3,2,?,2,2,3,1,45,60,1
30096,0.77813233,0.508883841,0,76.90945736,1,0,5,?,2,1,1,57,21,1
30099,0.125275726,0.776324962,?,51.30668965,2,0,2,5,2,2,1,17,73,1
30100,?,0.287459673,0,60.48470625,2,0,4,4,1,3,1,38,?,1
30101,0.39591231,0.257941053,0,62.92219131,2,1,4,3,3,2,0,47,58,1
30103,0.492631152,0.451403172,1,68.55190325,2,?,2,3,4,4,1,79,57,1
30104,0.614427801,0.360115094,-1,63.11362445,3,0,1,4,1,4,1,62,42,1
30106,0.620236852,0.421684106,1,72.00071043,1,1,4,3,2,3,1,47,49,1
30107,0.351924849,0.599687962,-1,48.42238427,2,1,1,3,0,2,1,67,43,1
30108,-0.080182688,0.465957674,0,48.99266872,2,2,4,2,2,3,1,69,44,1
30109,0.287354802,0.650590573,0,68.88145568,1,0,4,5,2,2,1,50,62,1
30110,0.341709706,0.459326927,1,70.9711472,2,2,1,4,3,2,0,50,53,1
30111,0.555950664,0.512246902,0,63.56091928,3,3,1,1,3,3,0,51,59,1
30114,?,0.250300812,1,46.98322798,2,2,5,2,3,4,0,50,29,1
30115,0.413773958,0.781357912,?,48.54229001,1,-1,3,5,3,3,0,23,26,1
30116,0.549600624,0.315997219,1,51.08658657,2,2,5,2,3,4,1,30,?,1
30117,0.404822239,?,1,56.94682535,3,3,5,5,3,3,0,50,38,1
30118,0.533334164,0.573028425,0,58.43596377,2,2,4,1,0,4,1,68,66,1
30121,0.488067888,0.439622866,0,76.33085295,2,0,4,4,2,0,1,14,20,1
30122,0.322164232,0.642478724,0,69.43711784,1,1,1,?,1,2,0,25,64,1
30123,-0.209572643,0.324211285,1,69.93065142,2,1,5,?,4,3,0,87,21,1
30125,0.612139083,?,1,63.70734803,3,1,2,4,3,3,1,30,48,1
30126,0.745069354,0.393588366,?,58.60764849,1,1,1,4,4,2,0,56,33,1
30127,0.720821956,0.667827434,-1,73.85370434,1,-1,5,4,2,5,0,41,16,1
30129,0.468023227,0.324222633,1,69.41990491,2,1,?,5,1,3,1,38,34,1
30130,?,0.713365279,1,59.28206368,2,2,4,2,3,3,0,60,28,1
30131,0.003468322,0.283064341,1,57.22070166,1,2,5,5,3,2,0,71,35,1
30132,0.461367206,0.672980292,1,68.09670489,2,2,1,1,3,0,0,77,69,1
30133,0.693201202,0.414687945,0,59.90975113,1,1,1,3,1,1,0,59,81,1
30134,0.245784817,0.536506211,0,73.1313038,3,2,2,3,1,1,0,65,59,1
30135,0.461727143,0.41738593,-1,?,2,2,4,5,4,3,1,40,83,1
30136,0.306510563,0.3856179,0,63.68699367,3,1,1,3,4,3,1,27,47,1
30139,0.491154798,0.901715305,1,54.28967387,1,0,2,1,4,4,0,?,30,1
30140,0.693533441,0.510419656,-1,76.93962413,3,2,1,4,?,2,0,49,61,1
30141,0.847726225,0.563044005,0,72.47300384,1,1,?,3,4,1,1,75,42,1
30142,0.754830366,0.476430265,0,69.66338431,2,2,3,5,1,4,1,49,81,1
30146,0.526924597,0.916965042,-1,61.91066046,?,0,1,1,1,2,0,20,43,1
30147,0.896725812,0.475790035,0,81.53267045,1,0,3,4,2,4,0,54,42,1
30151,0.194411155,0.711963666,0,69.83726654,2,1,1,1,4,4,1,29,54,1
30155,0.663278001,?,-1,62.50754683,2,2,2,?,3,3,1,68,53,1
30156,0.627959629,0.472916642,0,54.74807984,2,1,1,5,3,2,?,43,37,1
30157,0.235740362,0.730120264,0,67.56821358,1,1,1,1,3,?,1,57,55,1
30158,0.478288384,0.597474339,1,67.68718153,2,2,5,4,4,2,1,59,32,1
30159,0.707010076,0.259662245,-1,72.96910082,4,1,4,2,2,3,1,70,48,1
30162,0.40684094,0.561729008,1,?,3,1,1,2,2,4,1,88,105,1
30163,?,0.324526956,-1,57.16242599,3,1,4,2,3,5,1,47,64,1
30164,0.722418968,0.467448225,1,69.472757,1,1,3,2,2,3,1,47,31,1
30166,0.761472905,0.629758788,-1,59.03444119,2,1,3,5,0,3,?,59,21,1
30169,0.265450139,0.484069933,1,72.35436607,1,0,3,4,2,3,1,65,61,1
30170,0.382660024,0.790773946,0,73.98427144,2,2,4,3,0,2,0,35,66,1
30172,0.58296979,0.809108227,-1,53.82617368,2,2,2,4,?,2,1,33,94,1
30176,0.552696053,?,0,64.57100256,2,?,4,4,2,1,1,41,74,1
30178,0.27799268,0.29047048,1,52.40757614,2,0,5,2,5,3,?,55,67,1
30179,0.534036283,0.585794759,1,56.81436475,?,0,1,5,?,5,0,30,43,1
30181,0.708475843,0.315829892,0,64.7985425,?,1,5,1,4,2,0,52,38,1
30182,0.282391638,0.744782449,-1,69.83189948,3,3,5,4,6,3,1,39,37,1
30183,0.466864432,0.94529668,?,72.39115916,2,1,5,3,3,3,0,?,44,1
30186,0.409004178,0.421683832,0,?,1,1,1,1,4,3,0,60,3,1
30187,0.499757423,0.402982366,0,70.09614395,2,2,2,4,4,4,?,21,27,1
30188,0.319389362,0.439868971,0,61.69147966,3,2,4,1,3,2,1,80,38,1
30189,0.221818588,0.62735612,-1,70.79982073,2,1,5,5,?,2,1,71,69,1
30192,0.359970906,-0.065514201,?,68.15430014,?,2,4,4,3,5,1,63,43,1
30195,0.71277065,0.695714768,0,?,1,1,2,4,4,2,0,62,86,1
30198,0.465545677,0.803658064,-1,84.28828649,2,2,3,2,2,2,0,5,52,1
30200,0.811244992,0.588284364,1,67.17703969,1,1,5,5,4,3,1,14,66,1
30204,?,0.579364139,1,72.17690514,3,2,2,5,4,2,1,51,70,1
30207,0.572975988,0.740246242,0,55.80812058,1,2,1,2,?,2,0,63,32,1
30209,0.29832139,0.455488497,-1,70.15728521,2,2,2,5,2,3,1,49,78,1
30211,0.693960554,0.355826155,0,75.40191037,1,-1,3,2,2,3,1,62,77,1
30212,?,0.944956295,-1,72.48470625,2,1,2,1,3,3,0,75,44,1
30213,0.66093611,0.625366715,1,56.02419824,1,-1,4,1,3,0,0,77,35,1
30216,0.254998435,0.533332294,-1,55.37140533,2,0,3,5,2,1,1,57,21,1
30217,0.614750379,0.439345731,1,57.18727782,3,1,4,1,3,1,0,59,68,1
30220,0.267564283,0.473224066,0,57.94958528,2,2,1,4,?,3,1,11,58,1
30223,0.5657925,0.524154626,-1,53.78666778,2,2,4,5,3,3,0,60,57,1
30224,0.280510531,0.430640175,?,67.33086009,1,1,2,1,4,3,0,50,56,1
30226,0.762098917,0.398638955,0,?,4,2,4,3,3,2,0,69,58,1
30229,0.451325412,?,-1,62.47068311,0,0,4,1,2,3,1,35,38,1
30230,0.754487958,0.414351558,1,51.9416056,2,4,1,3,4,2,0,85,22,1
30231,0.44031561,0.585545229,1,44.97601349,2,1,2,4,3,2,0,64,62,1
30234,0.124717618,0.536606018,-1,66.91917062,1,1,1,3,2,3,0,53,43,1
30240,0.051969801,?,1,75.12339192,1,1,4,1,2,3,0,54,63,1
30242,0.333783451,0.286927438,1,69.27828334,1,0,3,4,3,2,1,42,22,1
30245,0.340596966,0.376140668,0,?,2,1,3,3,2,1,0,47,81,1
30246,0.681675501,0.416254663,0,75.13245341,3,3,2,?,3,2,0,?,47,1
30249,0.341963002,0.602147423,-1,63.41173351,1,1,3,2,3,3,1,?,67,1
30251,0.266015793,0.44908454,1,68.9924168,2,2,3,1,0,4,1,53,56,1
30253,0.137719218,0.783151949,-1,66.22025132,1,1,4,5,2,0,1,61,46,1
30256,0.571606194,0.414084703,-1,64.22076378,2,1,1,5,?,3,0,64,64,1
30257,0.245123465,0.608170353,-1,56.94888505,1,1,2,2,4,2,1,64,38,1
30258,0.233024313,0.612891816,0,79.47393272,?,0,3,4,2,2,0,60,39,1
30259,0.666819883,0.914567092,1,59.39553293,3,1,?,2,2,2,1,4,36,1
30260,0.85131078,0.772534603,-1,59.67241207,2,0,3,2,3,3,1,18,58,1
30261,0.495207492,0.528578471,-1,53.78410498,2,1,5,1,4,4,1,60,38,1
30262,0.19075413,0.815044869,1,65.40239189,?,2,3,5,2,3,0,64,55,1
30264,0.272975873,0.522614223,0,57.88618923,1,0,2,2,1,5,0,48,81,1
30266,0.302251094,0.816200363,?,58.9174463,2,2,4,3,3,2,1,65,56,1
30270,0.356855893,0.722274389,0,74.64540633,2,2,2,4,3,3,0,68,42,1
30271,0.403568697,0.605393447,1,63.93567924,2,1,1,5,0,5,0,70,67,1
30274,0.586340639,0.330206078,0,77.18502388,1,1,2,4,2,3,0,47,?,1
30275,0.756417654,0.437444383,1,71.46930403,2,1,4,4,3,3,1,68,57,1
30276,0.038115893,0.691344588,0,63.29822551,0,1,4,2,2,2,1,62,22,1
30277,0.397179536,0.434071329,-1,61.02769228,2,1,3,1,4,2,0,76,?,1
30280,0.545695208,0.62467116,1,64.6496866,3,0,4,5,4,3,0,35,33,1
30282,0.24342998,0.341912569,0,65.15754512,3,2,2,2,2,2,1,31,46,1
30284,0.329291993,0.237310887,0,67.51246839,3,2,5,2,1,4,1,26,43,1
30285,0.780779406,0.838122319,-1,72.58349606,1,0,1,?,4,3,1,48,-1,1
30287,0.53733073,0.501571683,0,66.30597381,1,0,1,4,2,2,0,31,27,1
30288,0.66088147,0.418151928,0,59.66373799,1,0,1,5,2,2,0,65,79,1
30290,0.683297923,0.446265323,1,70.28208537,1,1,3,5,4,1,0,75,27,1
30292,0.567455167,0.570045141,1,69.44130994,2,1,5,1,4,4,0,69,61,1
30294,0.623732726,0.624193447,-1,68.9457956,2,2,3,1,3,2,0,77,60,1
30297,0.519653504,0.363791216,-1,73.21105942,1,2,1,2,0,2,0,?,9,1
30298,0.524741216,0.725365883,1,73.34306882,2,?,4,3,4,1,0,33,60,1
30299,0.474428935,0.446517665,?,56.17685881,0,1,5,1,2,3,1,49,11,1
30301,0.367178255,0.568254573,1,65.9825847,?,0,?,5,1,3,0,38,63,1
30303,0.60970456,0.344466415,0,?,1,1,4,3,2,2,0,65,48,1
30304,0.430218647,0.444795685,0,66.62475898,1,1,3,3,3,1,1,23,47,1
30305,0.510505522,0.714744077,0,68.84410563,2,1,5,3,4,1,0,81,38,1
30306,0.622568564,0.455850585,1,64.53529726,3,-1,4,?,4,2,1,27,38,1
30309,0.418303796,0.631451305,-1,63.18321307,3,1,1,2,1,2,0,74,40,1
30310,1.012537956,0.321186984,1,53.15068914,3,2,5,3,0,0,1,71,25,1
30311,0.610050766,0.334881749,0,74.98323768,3,0,3,2,2,2,0,37,59,1
30312,0.697496313,0.68365565,-1,69.27105528,1,1,5,5,3,4,0,59,26,1
30314,0.782507102,0.848223192,1,60.34185013,2,0,2,5,2,2,1,33,13,1
30315,0.218429182,0.44596537,-1,49.15376615,2,3,4,3,5,?,1,50,18,1
30319,0.526253676,0.50278984,1,71.98096706,1,1,4,3,3,3,1,50,29,1
30320,0.650814684,0.728939201,0,64.46618368,2,2,4,3,3,4,1,12,30,1
30322,0.300856748,0.369508257,-1,63.06155464,5,2,4,4,1,2,1,101,0,1
30324,0.320079637,0.733190633,1,78.24532295,1,-1,4,2,2,2,1,66,52,1
30325,0.291496862,0.164293571,-1,70.17591084,1,1,2,3,-1,2,0,16,47,1
30326,0.571691145,0.741423314,0,56.5617369,2,1,5,4,3,3,1,25,20,1
30327,0.455561237,0.311095284,0,60.71284851,2,1,1,4,4,4,?,36,41,1
30328,0.744909086,0.365318405,-1,69.54281152,2,1,1,2,1,2,1,47,39,1
30330,0.331078007,?,-1,71.05894457,2,2,4,3,2,1,0,?,58,1
30331,0.347469325,0.647940925,-1,78.31321834,3,1,4,3,2,3,0,?,56,1
30332,0.686782549,0.746843234,-1,62.15598771,1,2,4,3,1,0,0,70,14,1
30334,0.636599902,0.485419249,0,57.80523135,0,-1,3,3,2,3,1,27,54,1
30336,0.243128602,0.534082535,0,78.03966656,1,1,3,2,5,4,1,65,?,1
30337,0.3922003,0.783525224,-1,67.56869918,2,0,4,2,2,2,1,28,66,1
30338,0.243141504,0.504516017,-1,64.58272395,3,3,3,4,3,2,1,67,59,1
30340,0.327619261,0.729065831,-1,58.79169957,0,2,1,2,1,3,1,45,32,1
30341,0.796355595,1.016082595,-1,67.04563852,3,2,2,3,3,2,0,25,63,1
30344,0.589454728,0.092797856,1,60.47261926,1,0,3,3,3,3,1,54,-8,1
30345,0.6177556,0.542596855,1,64.75546152,1,1,1,3,3,3,1,62,98,1
30346,0.115622364,0.655352323,0,68.70361914,1,0,4,5,1,?,?,86,80,1
30347,0.850211975,0.350047294,-1,?,0,0,5,5,1,1,0,46,42,1
30348,0.687460792,0.746127525,-1,60.55935518,2,1,4,2,2,2,1,58,60,1
30349,0.591266358,0.583229576,-1,?,1,1,3,1,3,2,0,7,35,1
30350,0.311454146,0.562391708,-1,68.74501206,?,0,1,5,2,2,0,68,65,1
30351,0.452426595,0.697341336,-1,67.75839878,0,-1,3,1,3,4,0,66,66,1
30353,0.424099868,0.457435365,1,68.85681418,4,3,1,1,?,2,0,63,14,1
30354,0.485637742,?,1,69.44470213,1,2,4,5,2,2,0,70,20,1
30355,0.489901253,0.281432267,0,54.64260164,2,2,2,2,5,4,0,49,55,1
30357,0.569066744,0.513734005,-1,61.04701481,3,1,4,1,3,4,0,68,48,1
30361,0.683694844,0.455842687,0,67.87952399,2,0,2,2,3,3,1,62,?,1
30362,0.503410287,0.809772858,0,70.82948767,1,1,3,2,3,1,1,17,64,1
30363,0.714962731,0.554855382,0,71.43317436,0,-1,2,3,4,3,1,44,53,1
30364,0.578396727,0.594585736,1,58.61163043,2,2,3,1,3,2,0,41,60,1
30367,0.233158945,0.28165645,-1,70.056625,1,1,5,2,4,3,0,96,72,1
30369,0.461358494,?,-1,65.32140175,1,1,1,3,4,5,0,70,54,1
30370,0.184511541,0.264104326,1,73.93352611,3,3,4,1,1,1,1,42,48,1
30371,0.560330777,0.551369154,-1,61.81786771,2,2,1,4,3,5,1,38,63,1
30373,0.491405414,0.461060541,-1,57.69189299,2,2,1,5,2,3,0,50,81,1
30374,0.494995918,0.337400417,0,68.02918355,3,3,3,3,2,2,1,63,59,1
30375,0.649386902,0.666958711,1,69.03998015,2,1,4,3,3,4,1,25,77,1
30376,0.757319163,0.430406677,0,69.38333891,3,1,5,3,3,1,0,65,25,1
30377,0.475311348,0.553729944,0,68.21505293,2,1,3,4,0,3,0,70,43,1
30378,0.628334901,0.574045928,-1,67.65527244,4,3,4,4,3,3,1,59,?,1
30381,0.506133377,0.411979819,0,66.93767346,1,1,1,5,-1,1,0,81,50,1
30382,0.751965582,0.490280985,-1,72.01576064,1,1,4,4,3,3,0,?,45,1
30385,0.671993015,0.518761757,0,67.8177294,3,2,2,?,3,2,0,52,47,1
30386,0.314897592,0.549339826,0,73.51486806,2,1,3,1,2,1,0,72,64,1
30389,0.190252523,0.482800083,1,72.05623395,2,1,1,5,3,2,0,64,61,1
30392,0.593510891,0.510259121,0,69.89713881,3,1,4,2,3,1,1,42,74,1
30393,-0.124255619,0.107616642,-1,69.59064015,1,3,2,1,2,4,1,52,47,1
30394,0.48084676,0.714327783,1,68.42286456,3,2,1,2,?,3,0,45,?,1
30396,0.273210198,0.618352217,0,57.28926748,1,1,4,4,3,3,1,?,35,1
30398,0.542857625,0.559652087,-1,55.22110376,2,0,2,2,?,?,0,59,68,1
30400,0.669259757,0.6464516,-1,67.0540565,1,0,3,3,2,1,1,64,38,1
30401,0.3790862,?,-1,65.64585482,2,1,2,5,2,3,0,58,48,1
30402,0.366043873,0.366710507,1,73.52263636,3,?,3,1,3,2,0,54,53,1
30404,0.777393443,0.51173529,-1,73.48747357,1,1,3,2,1,3,1,51,48,1
30406,0.331939117,0.747858233,1,60.89544112,2,2,3,3,3,3,1,26,23,1
30407,0.677728704,0.391962089,1,59.30160813,1,1,?,4,3,2,1,42,49,1
30409,0.700927934,0.44144435,-1,68.99338378,1,?,4,1,2,4,1,56,22,1
30410,0.562615422,0.485930263,1,61.73708936,2,1,2,3,2,1,0,63,84,1
30411,0.413737503,0.492483035,-1,60.6251324,3,3,1,5,1,2,1,52,81,1
30412,0.120784212,0.28978152,0,60.42339157,1,0,?,2,1,?,1,51,38,1
30413,0.539334186,0.379709378,0,74.69831303,?,1,?,3,4,3,0,68,67,1
30414,0.240665652,0.894161931,0,?,2,?,3,1,0,0,1,55,62,1
30416,0.510926234,0.502310392,-1,52.64992316,1,1,3,3,1,1,0,33,55,1
30417,0.557714651,0.64414026,1,61.92736693,1,2,2,1,4,3,1,38,16,1
30418,0.770532001,0.801576417,-1,67.01433497,2,1,2,4,1,3,0,34,25,1
30421,-0.053801539,0.317848762,0,66.91300092,1,2,1,5,4,3,1,61,55,1
30422,0.706376379,0.371853795,0,71.20793371,2,0,?,4,4,?,0,29,33,1
30423,0.382115725,0.530093827,-1,74.0579268,0,0,?,4,5,1,0,75,86,1
30424,0.512688629,0.825944646,-1,64.29774308,0,0,5,4,?,1,1,56,59,1
30425,0.375262179,-0.019258489,0,73.70416102,1,1,4,2,1,4,1,17,?,1
30427,0.557717383,0.704903999,0,72.19543691,3,1,4,1,3,2,0,44,35,1
30431,0.590853874,0.707964469,?,68.46951075,?,2,5,4,2,3,0,62,72,1
30432,0.477074687,0.512822832,-1,56.45680044,1,1,4,4,2,1,0,54,50,1
30433,0.741836657,0.581399662,0,62.52334043,1,0,5,3,?,4,0,31,65,1
30435,0.605416232,0.386865247,-1,54.2565059,2,2,3,1,3,1,1,46,26,1
30438,0.794051579,?,1,57.38636322,2,0,5,5,1,5,1,28,77,1
30440,?,0.740166024,-1,63.17346489,2,2,4,5,3,3,1,54,58,1
30441,0.245389397,0.843270778,0,70.84153422,0,-2,5,3,3,3,0,41,60,1
30442,0.137290926,0.799800474,0,72.91817896,3,2,3,2,1,5,1,76,57,1
30443,0.459074715,0.559215641,-1,61.87642474,2,0,3,3,3,3,0,27,16,1
30444,0.42225264,0.347294713,-1,?,2,2,5,1,4,2,0,30,60,1
30446,0.543868084,0.606778187,-1,61.01013048,3,1,3,2,2,4,1,49,29,1
30447,0.220826535,0.379084146,0,59.78502579,1,2,2,1,3,?,1,53,34,1
30448,0.917404194,0.444192826,?,64.58965908,2,2,1,4,3,2,1,47,34,1
30453,0.552553319,0.72278215,1,75.93527777,2,2,1,5,2,2,1,21,34,1
30454,0.548605942,0.558946369,-1,77.70259428,2,1,1,1,3,2,?,?,43,1
30457,0.414876401,?,1,70.83012539,1,1,2,3,3,1,1,60,79,1
30458,0.753239354,0.429969349,-1,62.79253339,3,1,2,5,1,4,?,18,19,1
30460,0.502967243,-0.024751756,1,75.72517113,2,1,3,5,3,4,0,72,56,1
30462,0.397356833,0.571171123,0,71.10467507,1,-1,3,1,?,3,1,45,50,1
30463,0.146693979,0.545297833,1,68.21087066,2,1,5,2,2,2,0,22,29,1
30465,0.126611637,0.41001414,-1,65.06067112,1,1,3,4,3,2,0,60,34,1
30466,0.492438349,0.400672449,0,66.69598851,2,?,3,1,2,1,0,31,87,1
30468,0.576819943,0.674977094,1,73.88280795,2,1,3,4,3,3,1,49,51,1
30472,0.669697376,0.939505226,-1,62.26348625,3,1,1,1,3,2,1,36,38,1
30473,0.320292158,0.307859396,1,70.76267909,2,2,4,5,2,3,1,55,58,1
30474,0.689394812,0.443032385,1,67.79696501,?,1,4,?,?,3,0,32,59,1
30475,?,0.23976247,0,70.72222426,2,2,1,3,0,1,1,36,34,1
30476,0.60837787,0.880073454,0,63.72250608,4,?,3,3,3,2,0,30,17,1
30478,0.686134154,0.419193471,0,65.02947679,1,1,4,3,1,3,1,34,37,1
30480,0.477372282,0.55379444,0,61.28088485,1,1,5,3,2,2,0,84,19,1
30481,0.795409901,0.603701406,-1,61.00747558,1,0,1,1,1,2,0,51,42,1
30482,0.456482757,0.619253922,-1,60.59527243,4,1,2,4,1,5,0,91,35,1
30484,0.221635461,0.56745722,0,?,2,2,3,3,3,2,1,9,6,1
30487,0.37055149,0.563486068,0,?,2,1,2,4,2,?,0,40,52,1
